essay_id,overall,grammar,cohesion,conventions,vocabulary,syntax,phraseology
9CDD8FC77D5A,2,4,3,3,3,4,3
C19EDCF7BDD6,5,2,4,5,5,4,4
99D067A7FA9C,4,3,4,4,2,4,5
8E40E03B113A,4,3,3,2,5,3,4
9A96A89DF959,5,2,3,3,4,5,4
C4472C6DFE66,3,5,5,3,4,5,5
4668B9F74078,3,3,3,4,5,3,4
8C44127FF83C,5,5,3,5,1,5,3
1FB9B9E08786,3,4,5,3,3,2,2
840357B74A16,5,4,2,4,5,3,4
4C6E08E611EA,3,3,5,5,4,5,4
471BD41D6BA9,4,3,3,5,4,3,5
48CD3C2E57E9,5,3,5,5,3,3,5
50611B996992,5,4,3,4,4,4,2
AD095F1ADE0A,4,1,5,5,4,2,4
55AEC9A9BB4C,3,5,5,3,2,3,3
77D8D85C6451,3,5,3,4,4,5,5
9523FBA791BE,1,4,4,1,3,3,4
D5AC4A35BAF8,5,2,4,3,2,4,4
FCE7BA86AFDF,4,5,4,3,4,5,4
662E92CD6A6E,3,5,4,5,3,3,2
B5FF33681C22,3,3,3,4,4,4,2
2F0BD3FAFB2E,4,5,2,3,4,5,5
D3F44CC7EC17,3,4,3,5,2,2,4
41EAC230D430,5,1,5,1,5,5,5
E0BFF1488787,2,5,1,4,2,3,2
4E81E4116D94,2,5,4,4,5,4,2
999F3229AC57,4,3,4,4,5,4,3
4A87CFC37238,5,5,4,4,4,4,5
62A6A91A2C46,3,3,5,5,4,3,3
48F7FCAD8B23,3,4,5,2,4,1,4
5A75500DC0E2,5,1,3,4,4,5,4
49619EA08A55,4,3,4,3,3,2,4
39E0A362CF29,2,5,4,5,5,3,5
480C577BC8C9,3,4,4,5,4,4,4
2B62F285FD21,3,1,5,3,4,5,3
947DF52352AB,3,5,3,1,3,4,3
8AB06719AED1,3,5,5,2,2,4,5
9054912D1EA7,4,3,4,2,3,3,2
209A6BC99DB9,4,2,5,4,2,5,3
3480D4CCF0B5,2,1,5,4,1,5,5
2BAFBD6D9755,4,4,5,2,3,3,3
C5813A0D6AF5,2,2,5,5,5,3,3
3821238FE334,2,5,4,3,4,5,3
E52BD4FC3FF0,4,5,5,2,1,2,5
E376D913FA25,3,5,5,1,4,1,4
41BB825BAEBB,3,5,3,2,3,4,4
01E7242A2AD7,2,5,5,5,4,4,3
3691B4714FD5,4,1,5,3,5,2,1
ED57CFEC1CF1,5,3,3,5,3,1,1
C868C220A380,3,2,4,3,4,4,5
9E4F43374DD5,4,4,4,5,3,5,2
AAF5D100E836,3,2,5,5,4,4,4
E0B86027C5C5,2,5,5,1,3,5,5
4CFAF19AF547,4,3,2,4,5,3,2
7DC02C918305,2,5,5,5,3,2,5
3EE4C10E9149,5,5,5,5,4,5,4
9B4C52064991,2,3,2,4,4,2,5
830CCF8E0B23,4,5,3,4,5,5,3
366725B151D7,5,5,4,3,3,5,4
6CB31DED1BF0,3,3,4,1,4,5,3
A3C8FABB8B29,3,5,5,3,2,2,4
20E194B18D0E,4,5,5,3,5,3,2
CB0BF6DDF9B7,2,2,2,5,3,3,5
29BB45AA907C,3,4,4,4,4,3,4
0757FE18DBAA,4,4,5,1,3,1,4
98D8FF9E3C56,4,5,5,5,4,3,4
314E6ED40C6A,2,4,4,4,3,5,4
B39F335086FB,3,4,5,4,4,3,5
DE54A8F9C29C,5,4,4,2,3,5,3
F7DC6C783239,5,4,4,1,4,5,2
744C96D9BE0B,2,1,3,3,5,3,3
6FBD476D8AC9,1,2,4,1,3,5,3
4A3A73608D0E,5,5,2,5,4,2,3
4994A639ED75,4,5,3,4,3,5,4
D185087926CD,3,5,4,2,2,3,5
6AA75E61D3C1,1,4,5,5,2,1,5
78303F7A5AB0,5,5,5,4,2,5,5
7F0B7DDE89B2,5,2,3,1,5,4,2
C7BD62EA392F,3,5,2,5,3,3,4
0A67029FA17C,4,3,4,4,4,5,5
38E03AE14C78,5,3,3,2,5,4,2
B558AFC603D4,3,4,4,3,5,5,5
918C1880FCD8,3,4,5,3,5,3,3
B6E9E12159E3,3,2,4,5,5,4,4
8B155840CA6D,5,5,4,4,5,4,5
BF267B42A2A4,3,5,2,3,5,5,3
56E188D44884,3,2,2,3,3,5,3
29595ADA257B,5,2,5,3,3,4,3
E4C49D70C330,4,5,5,2,5,3,3
3EEB66F3630C,1,5,3,4,3,5,3
C0BC39F655F9,5,4,5,3,5,4,4
253B2D521F14,5,3,3,3,5,4,3
A0C5D3BB735F,5,4,4,1,2,4,5
FBC269A9D3AE,4,4,4,4,2,5,5
41AEF2D0D03E,4,4,3,3,4,4,2
44C1594D0950,4,4,5,3,5,2,5
DE962FEDCD9E,4,5,5,2,4,5,5
40788D50B102,5,5,4,3,5,3,5
17C7C1CAF7E8,3,5,5,5,4,2,2
9E4E221D8419,4,4,3,4,4,4,5
506A69171959,2,5,5,3,5,5,5
4D35A86F4929,3,4,5,4,5,5,3
112B891A4F41,3,5,4,5,3,5,4
71A9098715EB,5,3,5,2,5,2,4
87E3F6FDAA68,3,3,5,3,3,4,5
ADFE2CDB6FF1,5,3,5,4,5,4,3
83FD2977A14D,5,3,2,3,5,4,3
8C5BF0347F87,5,1,5,4,4,5,3
0CFDDC1CF75A,3,1,5,2,3,2,4
3DB503D247B3,2,5,4,4,2,5,5
56AC4BE71C2F,2,1,4,4,1,3,4
85E3C840FCBF,4,5,4,3,5,4,5
1D9F4510A90B,3,3,5,2,5,5,2
74FF4379012C,4,4,3,2,4,5,2
D5202DF530D1,3,1,3,5,3,2,3
642E44E8DD25,3,5,4,5,2,2,3
5E32A7855A7F,4,3,5,3,5,3,5
4032ED0063E4,2,3,5,3,3,4,4
2C9EA803FF3A,5,2,5,3,5,5,5
10DA9316D02D,4,4,4,5,3,5,4
25130AAA9552,2,3,5,5,3,4,3
1151BAA93780,3,3,3,3,3,3,3
63146C2EA477,1,1,4,3,1,4,5
23F0ABEF8370,5,5,4,5,4,5,5
0F9DDF417CDA,4,1,5,5,4,5,3
871097AE113C,3,4,3,3,2,5,3
C27C72D6E208,5,4,4,5,3,5,3
90978A2F8599,3,5,5,2,4,1,5
83FEB27FD31E,5,5,4,5,3,4,5
8B1F8FCC9E56,4,5,4,5,3,4,4
A2BA5F95C077,4,3,5,1,5,3,3
E8C554B25F19,1,3,4,5,3,3,3
9B5E142C63AC,3,3,5,4,5,4,5
8EE0540E163D,5,5,3,5,4,5,5
68C346DDE213,2,2,3,4,3,3,5
D99C71A15BA0,5,5,3,5,5,5,3
14B667544F4E,5,4,4,4,2,3,3
2DA1C5338C78,4,3,5,3,5,5,5
8B1883B7393C,2,2,2,3,4,5,4
5E830B6462DB,2,3,4,5,3,3,5
669A736CF0B4,5,2,3,2,3,3,5
24008FFDB479,3,1,3,2,3,5,3
60623DB5DE7A,3,3,3,4,3,2,5
BD9FE34E4670,5,3,3,5,5,3,2
8C8B11C308CF,3,3,2,4,3,1,3
5EE6F7530113,3,5,5,5,5,4,5
76C2E20AF20E,5,5,3,5,3,2,4
46977B27324C,3,5,4,2,3,4,3
AA03F87A4A75,4,5,3,5,4,5,4
02A7A3AFFBD5,2,1,3,3,3,3,2
907FC59841EC,2,4,1,3,5,4,2
E52BA6E4D7EE,2,3,4,5,3,3,4
E3DBC3B092A7,2,1,5,4,3,4,2
12E3D52345C6,4,1,3,5,5,3,3
51A7C4616A18,3,5,1,2,4,4,4
04FA62C5F269,5,5,4,4,5,5,4
C537E278BAE6,5,1,4,5,3,3,4
34E9C436DECE,1,1,2,5,5,4,4
52D244740799,4,3,3,4,2,3,4
916C937AF222,4,5,4,3,4,4,4
A9A0D8CE21B4,4,3,3,4,3,5,5
219E44AA7948,3,3,3,2,4,5,3
507FAD8DAFB0,5,2,3,3,3,1,1
F5EA98F42452,4,4,2,3,1,2,5
CD506B5747F7,5,4,5,2,5,4,5
7D1825E2F4AD,3,4,5,1,5,4,5
4F5775B0B88D,5,5,2,5,3,4,3
A85F9CF7691D,4,5,4,3,3,2,3
EFB208F9EF60,4,3,5,1,4,3,3
AE6AE119B52F,3,5,3,5,4,5,4
4E8ED336CF7E,5,3,4,2,2,1,5
111443A063CE,5,1,5,4,2,3,3
1B2274161889,4,2,5,5,5,5,3
5C9B1FB411EB,2,3,5,3,2,5,5
9213A16C1A0A,3,4,4,3,4,3,5
FC9DA73D1EA0,3,2,4,3,3,4,5
EBEFF43F46EE,4,5,4,4,5,3,4
E78C1D3328E3,5,2,5,3,4,5,2
3B81809AA132,4,4,5,5,4,4,5
14ED79D68BC4,5,4,3,1,3,5,2
2A426B89E8C5,3,4,5,2,4,2,4
67F6FEDD7677,2,3,4,2,4,3,2
C2DCF6EED519,5,5,3,2,5,3,3
16BE136AB3A7,4,5,3,5,4,5,5
C3D8BAA89C4F,4,5,4,4,3,2,5
4FD2B58768E2,4,3,2,3,2,3,1
6D9728CB8711,5,5,4,5,3,5,5
253108CDC69F,3,5,4,2,4,3,3
19692639977E,2,5,4,3,4,4,5
6ED616EC6B00,4,5,2,5,3,4,4
34D76C62269C,3,5,4,3,3,3,3
9FFDCC21CAA0,5,2,3,4,5,3,4
BC227A70B60E,3,1,4,4,3,5,2
6F63F3BCD18D,4,2,3,2,3,3,4
E2A60C034849,5,5,3,4,2,5,3
D5C7212A31FD,4,1,5,2,1,4,5
80172B0A969C,4,5,3,5,5,5,4
A0B58CDB939A,4,3,5,4,5,5,5
DDD24AF9146F,2,5,4,4,1,4,5
858DFA7A9980,3,3,3,2,3,4,2
109CBA5203BB,4,5,5,3,3,3,5
6AB122D640E1,5,4,4,5,3,1,2
9EBCC1131B13,4,4,4,4,2,5,5
9551DA943B01,5,1,4,4,4,4,4
9CB6D9467227,4,4,4,5,3,5,5
B37D0A9D7859,5,2,4,1,2,5,5
AF7DB5739529,3,5,5,5,4,1,3
07A4DAFDE5B7,4,5,3,4,5,4,5
AF6A4C253262,4,2,2,3,4,4,4
269101ABF266,5,5,4,3,5,5,3
CB13841D09DF,5,5,4,3,4,2,4
2E6495FC2C72,3,5,3,2,3,4,4
CB769FAD1A51,3,5,3,3,5,5,4
F48D7BBAF52D,4,5,2,5,4,3,4
593E2802E27C,3,2,5,3,4,2,2
F934542997DC,5,5,5,2,5,3,3
A6745A8EE7AF,2,5,4,4,4,3,5
1A69B2FC1200,3,5,5,3,3,2,2
8311ABD30CC1,4,4,5,4,3,5,2
591B7E3E2B40,3,1,3,3,2,4,4
1D327ADD95AA,5,2,5,4,4,5,4
7B557B2F27CE,1,4,5,5,4,5,3
5086E20438E9,3,2,4,4,3,2,4
D25868F1C5C3,4,3,3,3,3,2,3
F1BB39C5E549,5,5,5,5,5,4,5
471C6119911D,5,4,4,4,4,3,5
10490469631A,3,2,5,4,5,5,3
EC719533AB43,4,3,4,5,5,5,4
4B0F6070B45A,5,3,4,4,5,3,5
A1A83A14B53F,5,3,5,4,2,5,2
BE4764F7BFF1,2,3,5,1,3,3,5
76BC1CB29C1E,2,5,5,3,4,5,5
CA6EBB87D7FF,5,2,3,3,2,5,3
4BE3F5DCD6C9,5,5,5,2,3,2,3
87692B9A8184,3,2,4,4,3,5,5
AA7B4CC7EE1B,4,5,3,5,1,4,1
B46E31AA2653,2,3,3,4,5,5,4
60EAF2CDEB66,4,1,5,4,4,2,2
3F4A9ACFEDFB,5,3,5,5,4,4,5
AA9429AD1038,4,3,3,3,4,3,5
759E0659FF69,4,5,3,3,3,3,1
681B9CD21B07,5,4,4,4,4,3,4
ABB6A19842F1,3,5,3,5,4,4,3
6B20E9C115AF,5,1,2,5,4,3,5
ED9C6EDC5601,2,3,5,5,5,4,5
C1D243FAE6FF,4,5,3,3,2,1,2
36311D8E825C,3,5,3,4,2,5,2
0ACB3F8B9DF8,3,3,3,3,3,4,5
F12FEB0FE5B6,2,3,4,5,3,3,5
CEACA9EC34F8,4,3,5,3,5,5,5
1B981E7E59C5,4,4,5,5,3,4,5
73268F15F18B,3,3,5,2,5,4,2
38CADC812CBA,3,4,3,5,3,3,3
9D3EE733AE65,4,4,3,1,2,5,4
9F979C691167,5,2,4,2,3,4,5
26650408983,3,5,4,5,5,4,4
D8284C3B2D2C,5,2,3,2,5,5,5
857574FE9711,4,5,5,3,3,5,5
24DAF94F0A18,4,4,4,5,3,5,2
4C3AFB55C4F7,5,5,5,4,5,4,4
C5784E7398EC,3,3,5,1,5,3,4
1703E46B4DC9,3,2,4,2,3,3,2
AFBC394080FC,5,5,5,5,5,5,5
7A2F7AAFA6C8,2,5,5,4,4,5,2
8BF621177FB3,5,5,5,5,5,3,2
8399BA1DF44B,3,5,5,3,5,2,3
13AB4CC7F80F,5,5,5,4,5,3,4
A055576C0F9E,3,2,4,1,3,5,3
AC7AB280A93C,3,2,2,3,3,4,3
702A25E4B218,3,1,5,2,5,5,3
211699D25472,3,4,3,3,5,5,2
CFBD5DD8ECFD,5,4,4,5,2,2,3
134937CE445C,4,5,5,5,5,3,3
17FC8F322225,4,3,3,5,4,4,5
5E3EA4C47C9A,4,5,4,3,5,5,5
22F571F54234,4,3,5,5,4,2,3
BC4A0CFD6CAF,4,3,3,3,3,3,4
CD586C88F4F3,3,2,4,5,3,5,5
3F12BC08B53F,3,2,5,3,2,3,3
DC1271D1294D,5,5,5,1,2,3,1
663149D85F9C,3,1,3,5,4,5,3
4E3FEE69D23E,3,3,3,5,4,5,3
D579D6F26A91,5,3,3,3,3,3,3
B1C43F31DAA7,3,3,3,5,4,4,4
B385E5EE33B9,3,2,5,5,3,3,5
65975436BE5C,5,3,3,5,5,5,5
27DBD975EC8E,5,1,5,2,3,5,4
B0AA5045D915,3,5,4,5,5,3,4
2B63A9B12B5B,5,5,4,5,3,4,3
03FDC60BE33B,3,3,3,4,3,2,5
E22F1FD54169,5,3,3,3,3,5,4
08D8232F2D78,5,4,5,4,5,2,2
0C1EDBE2EEC3,1,3,4,5,4,2,5
0F706EB152E7,3,2,5,5,5,3,3
1F8441914809,3,3,4,4,4,3,2
8650DDFD974B,4,5,4,3,3,5,5
991748F8ED61,2,3,2,2,1,4,5
01D8970208A9,2,4,5,4,3,4,5
F6C88F801A8A,3,3,3,4,4,4,4
