Model,Accuracy
phi-3-mini-4k-it,63.01369863
phi-4-mini-it,61.64383562
gemma-1.1-2b-it,61.64383562
phi-3.5-mini-it,58.90410959
olmoe-1b-7b-0924-it,58.90410959
mistral-7b-it-v0.1,57.53424658
flan-t5-base,57.53424658
flan-t5-small,57.53424658
mistral-8b-it-2410,56.16438356
mistral-7b-it-v0.3,56.16438356
gemma-2-2b-it,56.16438356
mistral-nemo-it-2407,54.79452055
llama-3.1-8b-it,53.42465753
llama-3.2-1b-it,53.42465753
qwen-2.5-7b-it,52.05479452
qwen-2.5-7b-it-1m,52.05479452
phi-3-medium-4k-it,52.05479452
llama-3-8b-it,52.05479452
qwen-2.5-0.5b-it,49.31506849
qwen-2.5-3b-it,49.31506849
qwen-2.5-1.5b-it,47.94520548
olmo-7b-it,45.20547945
flan-t5-large,42.46575342
flan-t5-xl,41.09589041
llama-3.2-3b-it,41.09589041