Model,IFEval,Big_Bench_Hard,MuSR,Theta_x,Theta_y
flan-t5-large,22.01,17.51,9.01,-0.6156431437,-0.4448241591
flan-t5-xl,22.37,22.7,11.33,-0.6079307199,-0.1106613576
flan-t5-base,18.91,11.34,3.22,0.1789072603,0.2839866877
flan-t5-small,15.24,6.36,10.37,0.1405591518,0.2776219547
gemma-1.1-2b-it,30.67,5.86,2.02,0.2283105254,0.5546024442
gemma-2-2b-it,56.68,17.98,7.08,-0.01556889899,0.2676714957
llama-3-8b-it,74.08,28.24,1.6,-0.1291451752,0.08337988704
llama-3.2-1b-it,56.98,8.74,2.97,0.07238538563,0.1185508445
llama-3.2-3b-it,73.93,24.06,1.37,-0.6098902225,-0.104922682
llama-3.1-8b-it,49.22,29.38,8.61,-0.01626474969,-0.1178708375
mistral-7B-it-v0.1,44.87,7.65,6.13,0.04726812989,0.2707325816
mistral-7B-it-v0.3,54.65,25.57,4.3,-0.111744836,0.1376535296
mistral-8B-it-2410,58.96,25.82,10.72,-0.2124468237,0.2952663898
mistral-nemo-it-2407,63.8,29.68,8.48,0.03159694746,0.1839960217
olmo-7b-it,34.73,13.16,4.33,-0.5864496827,-0.4428257942
olmoe-1b-7b-0924-it,46.67,14.57,6.07,0.05536998808,0.3097322285
phi-3-medium-4k-it,64.23,49.38,13.05,-0.05693107098,-0.1088620126
phi-3-mini-4k-it,54.77,36.56,13.12,0.3148329556,0.2188113481
phi-3.5-mini-it,57.75,36.75,10.1,0.1904475689,0.1380203664
phi-4-mini-it,73.78,38.74,6.45,0.2824242115,0.4587759972
qwen-2.5-0.5b-it,30.71,8.43,0.94,-0.2283920795,0.0772715807
qwen-2.5-1.5b-it,44.76,19.81,3.19,-0.5092099309,-0.02889403701
qwen-2.5-3b-it,64.75,25.8,7.57,-0.4000293016,-0.106022045
qwen-2.5-7b-it,75.85,34.89,8.45,-0.1607536972,-0.001965870149
qwen-2.5-7b-it-1m,74.48,35.03,9.52,-0.1136363745,-0.2812436223