Model,IFEval,Parameters,LLMBar,MT Bench,JudgeBench,Comparison Task
gpt2-small,17.93,"137,000,000",,,,-1.313103199
gpt2-large,20.48,"812,000,000",,,,-0.8434847593
llama-3.2-3b,13.37,"3,210,000,000",,,,-1.00617528
llama-3.2-1b-it,56.98,"1,240,000,000",-0.05527,2.197715521,0.1185508445,-0.5504438877
llama-3.2-3b-it,73.93,"3,210,000,000",1.228031,2.477593899,-0.104922682,0.4566054344
olmo-7b-it,34.73,"6,890,000,000",0.982036,-1.150789499,-0.4428257942,-0.3034320772
olmoe-1b-7b-0924-it,46.67,"6,920,000,000",1.393293,2.066664934,0.3097322285,-0.1994968355
olmo-2-0325-32b-it,72.44,"32,200,000,000",,3.330261707,,
flan-t5-small,15.24,"77,000,000",-0.269086,2.736595869,0.2776219547,-1.13057
flan-t5-large,22.01,"783,000,000",0.9973116517,-0.8626571894,-0.4448241591,1.558274388
flan-t5-xl,22.37,"2,850,000,000",1.450231,2.194268465,-0.1106613576,1.743873
qwen-2.5-0.5b-it,30.71,"494,000,000",0.199672,0.5233964324,0.0772715807,0.3444279432
qwen-2.5-1.5b-it,44.76,"1,540,000,000",0.649827,1.15843153,-0.02889403701,1.071629047
qwen-2.5-3b-it,64.75,"3,090,000,000",2.057143,2.218711376,-0.106022045,1.38790834
qwen-2.5-7b-it,75.85,"7,620,000,000",2.220043,3.070041895,-0.001965870149,1.443924
qwen-2.5-7b-it-1m,74.48,"7,620,000,000",2.069069,2.983402014,-0.2812436223,1.50004518
phi-3-mini-4k-it,54.77,"3,820,000,000",1.042436,2.185678,0.2188113481,1.804253
phi-3.5-mini-it,57.75,"3,820,000,000",1.388873,2.275560856,0.1380203664,1.936331749
phi-4-mini-it,73.78,"3,840,000,000",1.698417,3.360415459,0.4587759972,1.744459
phi-3-medium-4k-it,64.23,"14,000,000,000",0.833469,2.91142416,-0.1088620126,2.029909
mistral-7b-it-v0.1,44.87,"7,240,000,000",-0.29935,2.892409563,0.2707325816,1.422651
mistral-7b-it-v0.3,54.65,"7,250,000,000",1.515062,3.618471861,0.1376535296,1.653182
mistral-8b-it-2410,58.96,"8,020,000,000",1.99624,3.248168468,0.2952663898,2.07983
mistral-nemo-it-2407,63.8,"12,200,000,000",1.852959,3.189,0.1839960217,2.035736
gemma-2b,20.38,"2,510,000,000",,,,1.519590974
gemma-1.1-2b-it,30.67,"2,510,000,000",0.658541,2.905564547,0.5546024442,1.732868791
gemma-2-2b-it,56.68,"2,610,000,000",1.015456,2.823537588,0.2676714957,2.027616739