Model,Overall Comparison,Overall,Cohesion,Syntax,Vocabulary,Phraseology,Grammar,Conventions
flan-t5-large,1.558274388,0.9048801292,0.9048801292,0.9048801292,0.9048791526,0.9048801292,0.9048801292,0.9048801292
gemma-1.1-2b-it,1.732868791,-3.534131226,-3.229281807,-3.435485686,-3.239146557,-3.275508368,-3.295081621,-2.41956986
gemma-2-2b,,1.350837622,0.9049546307,1.350837634,0.9048801292,1.350837634,1.350837656,1.350837634
gemma-2-2b-it,2.027616739,-3.534131226,-3.229281807,-3.435485686,-3.239146557,-3.275508368,-3.295081621,-2.41956986
gemma-2b,1.519590974,0.4537395559,0.4537395539,0.4537395538,0.4537395539,0.453739554,0.4537395539,0.4537395539
gemma-7b,0.8380250931,1.350837634,0.9048801293,1.350837634,0.9048801292,0.9048801292,1.350837634,1.350837634
llama-3-8b-it,1.867101312,-0.4537395539,-0.0009462508517,-0.4537395539,-0.4537395539,-0.4537395539,-0.4537395539,1.14E-28
llama-3.2-1b,,-7.92E-10,-6.76E-23,-0.4537395539,-3.98E-26,5.11E-22,-2.98E-26,7.24E-06
llama-3.2-1b-it,-0.5504438877,-3.534131226,-3.229281807,-3.435485686,-3.239146557,-3.275508368,-3.295081621,-2.41956986
llama-3.2-3b,-1.00617528,0.4537395539,1.73E-12,6.93E-08,0.4537395225,0.4537395539,4.68E-18,0.4537395539
llama-3.2-3b-it,0.4566054344,-0.4613659177,-0.4537395539,-0.453739554,-0.9048801288,-0.4537395539,-0.4537395539,-2.41956986
phi-3-mini-4k-it,,0.4534628248,0.4537395532,0.4537395539,0.4537395539,0.4537395539,0.4537395539,-2.41956986
phi-3.5-mini-instruct,1.936331749,0.4537395767,0.4537395539,0.4537395539,0.4537395539,0.4537395539,0.4537395539,-2.41956986
qwen-2.5-0.5b-it,0.3444279432,1.51E-05,0.9048800605,0.4537395539,0.4537395539,0.4537395439,0.4537342365,1.97E-22
qwen-2.5-1.5b-it,1.071629047,0.9048730417,0.9048801292,0.4537395539,0.4537395539,0.453739563,0.9048801105,0.9048801292
qwen-2.5-3b-it,1.38790834,1.32E-25,-0.4537395539,0.4537395539,0.4537395539,-2.76E-35,0.4474090058,0.903252797
qwen-2.5-7b-it-1m,1.50004518,-0.4537395539,-0.4537395539,-0.4537395539,-0.4537395539,-0.4537395567,-0.4537395539,-2.00E-24